nombre,area_nombre,sector_nombre,subsector,diametro_copa,macizo,nombre_cientifico,familia_nombre,sinonimia,nombre_vulgar,especie_origen,endemica,nativa,region_fitogeografica,habito_crecimiento,ciclo_hoja,ciclo_especie
Científica,Invernáculos,#1 Tropicales,4,1,FALSO,Ananas ananassoides,Bromeliaceae,Ananas comosus,Mini anana,"América del Sur, Costa Rica",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Ananas ananassoides,Bromeliaceae,Ananas comosus,Mini anana,"América del Sur, Costa Rica",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Ananas ananassoides,Bromeliaceae,Ananas comosus,Mini anana,"América del Sur, Costa Rica",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Ananas ananassoides,Bromeliaceae,Ananas comosus,Mini anana,"América del Sur, Costa Rica",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,0,FALSO,Ananas ananassoides,Bromeliaceae,Ananas comosus,Mini anana,"América del Sur, Costa Rica",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,1,FALSO,Ananas bracteatus,Bromeliaceae,Ananas comosus var. bracteatus,,"Brasil, Perú, Paraguay",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,4,1,FALSO,Ananas bracteatus,Bromeliaceae,Ananas comosus var. bracteatus,,"Brasil, Perú, Paraguay",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,0,FALSO,Anemia tomentosa,Anemiaceae,, ,"Argentina, Brasil, Paraguay,  Uruguay",FALSO,VERDADERO,"Espinal,Selva Paranaense,Chaco Húmedo,Chaco Seco,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Anthurium andraeanum cv.,Araceae,, ,cultivar,FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Anthurium caucanum,Araceae,, ,"Colombia, Ecuador",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Anthurium caucanum,Araceae,, ,"Colombia, Ecuador",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,1,0,FALSO,Anthurium caucanum,Araceae,, ,"Colombia, Ecuador",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,3,0,FALSO,Asparagus setaceus,Asparagaceae,,Helecho Plumoso,Sudafrica,FALSO,FALSO,"s/d,",Geófita,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,3,1,FALSO,Asplenium nidus,Aspleniaceae,Asplenium antiquum Makino, ,"Asia tropical, Polinesia",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,1,FALSO,Asplenium nidus,Aspleniaceae,Asplenium antiquum Makino, ,"Asia tropical, Polinesia",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
Científica,Invernáculos,#1 Tropicales,5,1,FALSO,Asplenium nidus,Aspleniaceae,Asplenium antiquum Makino, ,"Asia tropical, Polinesia",FALSO,FALSO,"s/d,",Herbácea,Perennifolia,Perenne
